prompt_token_count,completion_token_count,model_latency,model
1703,305,5.030737400054932,claude-3-5-sonnet
1666,198,4.787743091583252,claude-3-5-sonnet
1666,199,4.116704940795898,claude-3-5-sonnet
7936,262,5.09489107131958,claude-3-5-sonnet
7033,590,9.123557090759276,claude-3-5-sonnet
5753,594,12.954394340515137,claude-3-5-sonnet
6302,209,3.8394463062286377,claude-3-5-sonnet
5750,482,8.710208892822266,claude-3-5-sonnet
6918,272,5.002233505249023,claude-3-5-sonnet
6454,447,6.5509538650512695,claude-3-5-sonnet
6177,253,6.724810600280762,claude-3-5-sonnet
5484,418,6.370150089263916,claude-3-5-sonnet
6121,248,5.2020583152771,claude-3-5-sonnet
5404,435,7.494204521179199,claude-3-5-sonnet
5611,280,5.696275234222412,claude-3-5-sonnet
5143,405,7.806571960449219,claude-3-5-sonnet
4683,450,8.379799842834473,claude-3-5-sonnet
3805,507,9.41611385345459,claude-3-5-sonnet
3434,360,6.299882888793945,claude-3-5-sonnet
4683,462,8.035758018493652,claude-3-5-sonnet
3805,507,7.9343647956848145,claude-3-5-sonnet
3434,360,6.406187534332275,claude-3-5-sonnet
3671,381,6.756886959075928,claude-3-5-sonnet
3670,365,6.554703235626221,claude-3-5-sonnet
3670,365,6.566991806030273,claude-3-5-sonnet
3620,1448,17.33496856689453,claude-3-5-sonnet
5143,223,4.140023231506348,claude-3-5-sonnet
3618,826,11.364583969116213,claude-3-5-sonnet
4407,514,7.973691940307617,claude-3-5-sonnet
5469,298,5.10757303237915,claude-3-5-sonnet
3379,1096,14.87671947479248,claude-3-5-sonnet
3617,384,5.784637928009033,claude-3-5-sonnet
4855,301,4.9936628341674805,claude-3-5-sonnet
3617,669,9.29154109954834,claude-3-5-sonnet
4686,340,6.697449684143066,claude-3-5-sonnet
3618,635,8.603927612304688,claude-3-5-sonnet
5378,980,11.751556396484377,claude-3-5-sonnet
3384,487,8.447574615478516,claude-3-5-sonnet
4527,1064,11.27933120727539,claude-3-5-sonnet
3385,608,9.12587547302246,claude-3-5-sonnet
3387,640,12.307950019836426,claude-3-5-sonnet
4175,118,2.6928555965423584,claude-3-5-sonnet
3388,481,8.017569541931152,claude-3-5-sonnet
4432,820,10.68635368347168,claude-3-5-sonnet
3387,640,10.141910552978516,claude-3-5-sonnet
1666,198,3.933110237121582,claude-3-5-sonnet
1666,185,3.0666723251342773,claude-3-5-sonnet
1666,185,3.847794532775879,claude-3-5-sonnet
1666,185,3.590780019760132,claude-3-5-sonnet
4200,92,2.550196886062622,claude-3-5-sonnet
1666,198,4.574646472930908,claude-3-5-sonnet
3387,483,8.843341827392578,claude-3-5-sonnet
1637,197,3.541734457015991,claude-3-5-sonnet
4175,129,2.7807095050811768,claude-3-5-sonnet
3387,466,7.662639141082764,claude-3-5-sonnet
3388,448,6.729785442352295,claude-3-5-sonnet
3390,714,11.793540954589844,claude-3-5-sonnet
19,51,2.6109893321990967,claude-3-5-sonnet
249,5,0.5940665006637573,claude-3-5-sonnet
8,12,0.8618059158325195,claude-3-5-sonnet
6053,192,5.028717041015625,claude-3-5-sonnet
5840,192,5.340620994567871,claude-3-5-sonnet
5433,231,4.992365837097168,claude-3-5-sonnet
5231,172,3.585291624069214,claude-3-5-sonnet
9068,288,4.974011898040772,claude-3-5-sonnet
8502,546,7.604187488555908,claude-3-5-sonnet
7700,224,4.12614107131958,claude-3-5-sonnet
6995,495,7.520524024963379,claude-3-5-sonnet
5744,568,10.344110488891602,claude-3-5-sonnet
6665,599,8.956085205078125,claude-3-5-sonnet
5838,612,9.54483413696289,claude-3-5-sonnet
7368,416,7.198419094085693,claude-3-5-sonnet
5957,761,9.542475700378418,claude-3-5-sonnet
7782,371,5.677795886993408,claude-3-5-sonnet
5957,652,8.894352912902832,claude-3-5-sonnet
5733,184,3.3098220825195312,claude-3-5-sonnet
5303,412,6.337085723876953,claude-3-5-sonnet
6586,655,9.359532356262209,claude-3-5-sonnet
6118,456,7.848937511444092,claude-3-5-sonnet
5215,445,6.893765926361084,claude-3-5-sonnet
5211,481,7.342898368835449,claude-3-5-sonnet
4472,585,8.246289253234863,claude-3-5-sonnet
3558,540,8.168843269348145,claude-3-5-sonnet
1703,305,5.744068145751953,claude-3-5-sonnet
5984,497,9.09909725189209,claude-3-5-sonnet
1703,305,5.255229473114014,claude-3-5-sonnet
1953,280,5.365416049957275,claude-3-5-sonnet
2213,101,2.320436716079712,claude-3-5-sonnet
1897,247,4.162718772888184,claude-3-5-sonnet
1897,247,4.733171463012695,claude-3-5-sonnet
1841,385,7.732775688171387,claude-3-5-sonnet
1785,381,7.008181571960449,claude-3-5-sonnet
2236,113,2.9688241481781006,claude-3-5-sonnet
1729,370,6.273944854736328,claude-3-5-sonnet
1729,377,7.94590425491333,claude-3-5-sonnet
1729,370,6.569306373596191,claude-3-5-sonnet
1673,288,5.214174270629883,claude-3-5-sonnet
1993,54,2.639100790023804,claude-3-5-sonnet
1681,246,5.811225414276123,claude-3-5-sonnet
1886,329,6.575389385223389,claude-3-5-sonnet
7880,256,5.859081745147705,claude-3-5-sonnet
6971,665,11.526528358459473,claude-3-5-sonnet
5737,601,13.324737548828123,claude-3-5-sonnet
6656,1043,22.301576614379883,claude-3-5-sonnet
6289,354,8.296146392822266,claude-3-5-sonnet
9146,354,7.110976219177246,claude-3-5-sonnet
7533,858,12.11223316192627,claude-3-5-sonnet
7227,266,5.704479217529297,claude-3-5-sonnet
6304,716,11.734076499938965,claude-3-5-sonnet
6004,254,5.532279014587402,claude-3-5-sonnet
5265,597,10.284856796264648,claude-3-5-sonnet
3529,437,7.286245346069336,claude-3-5-sonnet
1734,301,5.208828449249268,claude-3-5-sonnet
1734,301,7.362025260925293,claude-3-5-sonnet
1681,241,6.46774959564209,claude-3-5-sonnet
4889,1062,15.754168510437012,claude-3-5-sonnet
6662,557,9.784222602844238,claude-3-5-sonnet
3529,461,8.334419250488281,claude-3-5-sonnet
6128,179,3.8251028060913086,claude-3-5-sonnet
5458,545,7.963979721069336,claude-3-5-sonnet
7189,260,5.259036064147949,claude-3-5-sonnet
5459,435,6.93089485168457,claude-3-5-sonnet
5459,424,7.542266845703125,claude-3-5-sonnet
6175,208,3.7602365016937256,claude-3-5-sonnet
5457,593,9.82254409790039,claude-3-5-sonnet
6056,183,3.2481701374053955,claude-3-5-sonnet
5432,536,8.445833206176758,claude-3-5-sonnet
5926,187,3.881181716918945,claude-3-5-sonnet
5433,455,7.868952751159668,claude-3-5-sonnet
5867,189,4.511653900146484,claude-3-5-sonnet
5482,374,6.517782688140869,claude-3-5-sonnet
5959,134,2.921436548233032,claude-3-5-sonnet
5432,467,7.835206508636475,claude-3-5-sonnet
6150,204,5.343770980834961,claude-3-5-sonnet
5430,590,9.592536926269531,claude-3-5-sonnet
6028,223,8.954390525817871,claude-3-5-sonnet
